fik	Lower Level   Conf., Term, J			Upper Level   Conf., Term, J		
5.07E-04	1s3d	3D	3	1s7f	1F	3
						
5.36E-03	1s3d	3D	2	1s7f	1F	3
5.83E-05	1s3d	3D	3	1s7f	3F	2
2.36E-02	1s3d	3D	3	1s7f	3F	4
2.86E-03	1s3d	3D	2	1s7f	3F	2
1.53E-03	1s3d	3D	3	1s7f	3F	3
						
1.75E-02	1s3d	3D	2	1s7f	3F	3
2.57E-02	1s3d	3D	1	1s7f	3F	2
6.06E-03	1s3d	1D	2	1s7f	3F	3
1.96E-02	1s3d	1D	2	1s7f	1F	3
7.71E-04	1s3d	3D	3	1s7p	3P	2
						
5.78E-04	1s3d	3D	2	1s7p	3P	1
1.93E-04	1s3d	3D	2	1s7p	3P	2
4.28E-04	1s3d	3D	1	1s7p	3P	0
3.21E-04	1s3d	3D	1	1s7p	3P	1
2.14E-05	1s3d	3D	1	1s7p	3P	2
						
2.89E-02	1s3p	1P	1	1s7d	1D	2
3.55E-03	1s3p	1P	1	1s7s	1S	0
5.30E-04	1s3p	3P	2	1s6d	3D	1
7.95E-03	1s3p	3P	2	1s6d	3D	2
4.45E-02	1s3p	3P	2	1s6d	3D	3
						
1.33E-02	1s3p	3P	1	1s6d	3D	1
3.98E-02	1s3p	3P	1	1s6d	3D	2
5.30E-02	1s3p	3P	0	1s6d	3D	1
8.23E-03	1s3p	3P	2	1s6s	3S	1
8.23E-03	1s3p	3P	1	1s6s	3S	1
						
8.23E-03	1s3p	3P	0	1s6s	3S	1
5.99E-02	1s2s	3S	1	1s2p	3P	0
1.80E-01	1s2s	3S	1	1s2p	3P	1
3.00E-01	1s2s	3S	1	1s2p	3P	2
7.13E-04	1s3d	1D	2	1s6p	1P	1
						
1.23E-04	1s3d	3D	3	1s6f	3F	2
6.01E-03	1s3d	3D	2	1s6f	3F	2
4.97E-02	1s3d	3D	3	1s6f	3F	4
3.14E-03	1s3d	3D	3	1s6f	3F	3
3.59E-02	1s3d	3D	2	1s6f	3F	3
