fik	Lower Level   Conf., Term, J			Upper Level   Conf., Term, J		
3.32E-04	1s6p	3P	2	1s10d	3D	1
4.99E-03	1s6p	3P	2	1s10d	3D	2
2.79E-02	1s6p	3P	2	1s10d	3D	3
						
8.31E-03	1s6p	3P	1	1s10d	3D	1
2.49E-02	1s6p	3P	1	1s10d	3D	2
3.32E-02	1s6p	3P	0	1s10d	3D	1
1.32E-03	1s6s	3S	1	1s9p	3P	0
3.95E-03	1s6s	3S	1	1s9p	3P	1
						
6.58E-03	1s6s	3S	1	1s9p	3P	2
2.80E-03	1s6d	1D	2	1s10p	1P	1
8.11E-04	1s6d	3D	3	1s10f	1F	3
8.74E-03	1s6d	3D	2	1s10f	1F	3
1.05E-04	1s6d	3D	3	1s10f	3F	2
						
5.13E-03	1s6d	3D	2	1s10f	3F	2
4.24E-02	1s6d	3D	3	1s10f	3F	4
2.85E-03	1s6d	3D	3	1s10f	3F	3
3.23E-02	1s6d	3D	2	1s10f	3F	3
4.62E-02	1s6d	3D	1	1s10f	3F	2
						
3.63E-02	1s6d	1D	2	1s10f	1F	3
9.88E-03	1s6d	1D	2	1s10f	3F	3
1.09E-02	1s6p	3P	2	1s10s	3S	1
1.09E-02	1s6p	3P	1	1s10s	3S	1
1.09E-02	1s6p	3P	0	1s10s	3S	1
						
2.00E-03	1s6f	3F	3	1s10g	1G	4
2.28E-03	1s6f	3F	3	1s10g	3G	3
4.57E-02	1s6f	3F	3	1s10g	3G	4
1.16E-03	1s6f	3F	4	1s10g	1G	4
3.85E-05	1s6f	3F	4	1s10g	3G	3
						
4.75E-02	1s6f	3F	4	1s10g	3G	5
1.26E-03	1s6f	3F	4	1s10g	3G	4
4.99E-02	1s6f	3F	2	1s10g	3G	3
4.64E-02	1s6f	1F	3	1s10g	1G	4
8.38E-04	1s6f	1F	3	1s10g	3G	3
						
2.66E-03	1s6f	1F	3	1s10g	3G	4
1.54E-06	1s6g	3G	4	1s10h	1H	5
9.15E-04	1s6g	3G	4	1s10h	3H	4
4.31E-02	1s6g	3G	4	1s10h	3H	5
6.98E-04	1s6g	3G	5	1s10h	1H	5
						
1.46E-05	1s6g	3G	5	1s10h	3H	4
4.26E-02	1s6g	3G	5	1s10h	3H	6
7.42E-04	1s6g	3G	5	1s10h	3H	5
4.40E-02	1s6g	3G	3	1s10h	3H	4
4.32E-02	1s6g	1G	4	1s10h	1H	5
						
8.46E-04	1s6g	1G	4	1s10h	3H	4
8.97E-06	1s6g	1G	4	1s10h	3H	5
3.51E-04	1s6h	3H	5	1s10i	3I	5
2.42E-02	1s6h	3H	5	1s10i	3I	6
2.81E-04	1s6h	3H	6	1s10i	1I	6
						
4.04E-06	1s6h	3H	6	1s10i	3I	5
2.40E-02	1s6h	3H	6	1s10i	3I	7
2.96E-04	1s6h	3H	6	1s10i	3I	6
2.46E-02	1s6h	3H	4	1s10i	3I	5
2.42E-02	1s6h	1H	5	1s10i	1I	6
						
3.31E-04	1s6h	1H	5	1s10i	3I	5
2.14E-06	1s6h	1H	5	1s10i	3I	6
4.51E-05	1s6g	3G	4	1s10f	1F	3
1.82E-05	1s6g	3G	4	1s10f	3F	4
4.98E-04	1s6g	3G	4	1s10f	3F	3
						
5.61E-04	1s6g	3G	5	1s10f	3F	4
9.98E-06	1s6g	3G	3	1s10f	1F	3
2.50E-06	1s6h	3H	5	1s10g	3G	5
1.19E-04	1s6h	3H	5	1s10g	3G	4
5.15E-04	1s6g	3G	3	1s10f	3F	2
						
5.08E-04	1s6g	1G	4	1s10f	1F	3
1.21E-04	1s6h	3H	6	1s10g	3G	5
2.85E-06	1s6h	3H	4	1s10g	1G	4
3.51E-05	1s6g	3G	3	1s10f	3F	3
1.15E-04	1s6h	3H	4	1s10g	3G	3
						
1.19E-04	1s6h	1H	5	1s10g	1G	4
1.69E-05	1s6g	1G	4	1s10f	3F	4
3.09E-06	1s6h	3H	4	1s10g	3G	4
3.60E-05	1s6g	1G	4	1s10f	3F	3
2.35E-06	1s6h	1H	5	1s10g	3G	5
						
4.06E-04	1s6f	3F	3	1s10d	1D	2
1.15E-03	1s6f	1F	3	1s10d	1D	2
1.03E-03	1s6f	3F	3	1s10d	3D	2
1.27E-04	1s6f	3F	3	1s10d	3D	3
1.57E-03	1s6f	3F	4	1s10d	3D	3
						
1.32E-03	1s6f	3F	2	1s10d	3D	1
2.44E-04	1s6f	3F	2	1s10d	3D	2
6.97E-06	1s6f	3F	2	1s10d	3D	3
3.63E-04	1s6f	1F	3	1s10d	3D	2
4.68E-05	1s6f	1F	3	1s10d	3D	3
						
2.77E-03	1s6d	3D	1	1s10p	3P	0
3.74E-03	1s6d	3D	2	1s10p	3P	1
4.99E-03	1s6d	3D	3	1s10p	3P	2
1.25E-03	1s6d	3D	2	1s10p	3P	2
2.08E-03	1s6d	3D	1	1s10p	3P	1
						
1.39E-04	1s6d	3D	1	1s10p	3P	2
4.04E-02	1s6p	1P	1	1s10d	1D	2
2.99E-06	1s6p	1P	1	1s10d	3D	2
9.76E-03	1s6p	1P	1	1s10s	1S	0
4.61E-03	1s5s	3S	1	1s6p	3P	0
						
1.38E-02	1s5s	3S	1	1s6p	3P	1
2.31E-02	1s5s	3S	1	1s6p	3P	2
2.93E-02	1s6s	1S	0	1s9p	1P	1
3.24E-06	1s6p	3P	1	1s9d	1D	2
5.90E-04	1s6p	3P	2	1s9d	3D	1
						
8.85E-03	1s6p	3P	2	1s9d	3D	2
4.96E-02	1s6p	3P	2	1s9d	3D	3
1.48E-02	1s6p	3P	1	1s9d	3D	1
4.43E-02	1s6p	3P	1	1s9d	3D	2
5.90E-02	1s6p	3P	0	1s9d	3D	1
						
5.41E-03	1s6d	1D	2	1s9p	1P	1
1.55E-03	1s6d	3D	3	1s9f	1F	3
1.67E-02	1s6d	3D	2	1s9f	1F	3
1.95E-04	1s6d	3D	3	1s9f	3F	2
9.56E-03	1s6d	3D	2	1s9f	3F	2
						
7.90E-02	1s6d	3D	3	1s9f	3F	4
5.28E-03	1s6d	3D	3	1s9f	3F	3
5.98E-02	1s6d	3D	2	1s9f	3F	3
8.61E-02	1s6d	3D	1	1s9f	3F	2
6.72E-02	1s6d	1D	2	1s9f	1F	3
						
1.89E-02	1s6d	1D	2	1s9f	3F	3
3.90E-03	1s6f	3F	3	1s9g	1G	4
4.45E-03	1s6f	3F	3	1s9g	3G	3
8.90E-02	1s6f	3F	3	1s9g	3G	4
2.27E-03	1s6f	3F	4	1s9g	1G	4
						
7.51E-05	1s6f	3F	4	1s9g	3G	3
9.26E-02	1s6f	3F	4	1s9g	3G	5
2.46E-03	1s6f	3F	4	1s9g	3G	4
9.74E-02	1s6f	3F	2	1s9g	3G	3
9.06E-02	1s6f	1F	3	1s9g	1G	4
						
1.63E-03	1s6f	1F	3	1s9g	3G	3
5.18E-03	1s6f	1F	3	1s9g	3G	4
3.26E-06	1s6g	3G	4	1s9h	1H	5
1.93E-03	1s6g	3G	4	1s9h	3H	4
7.78E-02	1s6g	3G	4	1s9h	3H	5
						
1.48E-03	1s6g	3G	5	1s9h	1H	5
3.08E-05	1s6g	3G	5	1s9h	3H	4
9.00E-02	1s6g	3G	5	1s9h	3H	6
1.34E-03	1s6g	3G	5	1s9h	3H	5
9.31E-02	1s6g	3G	3	1s9h	3H	4
						
9.13E-02	1s6g	1G	4	1s9h	1H	5
1.79E-03	1s6g	1G	4	1s9h	3H	4
1.90E-05	1s6g	1G	4	1s9h	3H	5
1.29E-06	1s6h	3H	5	1s9i	1I	6
8.56E-04	1s6h	3H	5	1s9i	3I	5
						
5.90E-02	1s6h	3H	5	1s9i	3I	6
6.85E-04	1s6h	3H	6	1s9i	1I	6
9.83E-06	1s6h	3H	6	1s9i	3I	5
5.84E-02	1s6h	3H	6	1s9i	3I	7
7.21E-04	1s6h	3H	6	1s9i	3I	6
						
5.98E-02	1s6h	3H	4	1s9i	3I	5
5.90E-02	1s6h	1H	5	1s9i	1I	6
8.05E-04	1s6h	1H	5	1s9i	3I	5
5.21E-06	1s6h	1H	5	1s9i	3I	6
5.74E-06	1s6h	3H	5	1s9g	3G	5
						
2.73E-04	1s6h	3H	5	1s9g	3G	4
2.78E-04	1s6h	3H	6	1s9g	3G	5
6.53E-06	1s6h	3H	4	1s9g	1G	4
2.65E-04	1s6h	3H	4	1s9g	3G	3
2.73E-04	1s6h	1H	5	1s9g	1G	4
						
7.08E-06	1s6h	3H	4	1s9g	3G	4
5.40E-06	1s6h	1H	5	1s9g	3G	5
9.14E-05	1s6g	3G	4	1s9f	1F	3
3.88E-05	1s6g	3G	4	1s9f	3F	4
1.06E-03	1s6g	3G	4	1s9f	3F	3
						
2.18E-05	1s6g	3G	3	1s9f	1F	3
1.19E-03	1s6g	3G	5	1s9f	3F	4
1.09E-03	1s6g	1G	4	1s9f	1F	3
1.10E-03	1s6g	3G	3	1s9f	3F	2
1.52E-06	1s6g	3G	3	1s9f	3F	4
						
7.41E-05	1s6g	3G	3	1s9f	3F	3
3.59E-05	1s6g	1G	4	1s9f	3F	4
7.25E-05	1s6g	1G	4	1s9f	3F	3
8.18E-04	1s6f	3F	3	1s9d	1D	2
2.32E-03	1s6f	1F	3	1s9d	1D	2
						
2.08E-03	1s6f	3F	3	1s9d	3D	2
2.57E-04	1s6f	3F	3	1s9d	3D	3
3.16E-03	1s6f	3F	4	1s9d	3D	3
2.65E-03	1s6f	3F	2	1s9d	3D	1
4.91E-04	1s6f	3F	2	1s9d	3D	2
						
1.40E-05	1s6f	3F	2	1s9d	3D	3
7.30E-04	1s6f	1F	3	1s9d	3D	2
9.42E-05	1s6f	1F	3	1s9d	3D	3
7.45E-02	1s6p	1P	1	1s9d	1D	2
5.63E-06	1s6p	1P	1	1s9d	3D	2
						
5.43E-03	1s6d	3D	1	1s9p	3P	0
7.32E-03	1s6d	3D	2	1s9p	3P	1
9.77E-03	1s6d	3D	3	1s9p	3P	2
2.44E-03	1s6d	3D	2	1s9p	3P	2
4.07E-03	1s6d	3D	1	1s9p	3P	1
						
2.71E-04	1s6d	3D	1	1s9p	3P	2
6.36E-07	1s6d	1D	2	1s9p	3P	1
2.17E-02	1s6p	3P	2	1s9s	3S	1
2.17E-02	1s6p	3P	1	1s9s	3S	1
2.17E-02	1s6p	3P	0	1s9s	3S	1
						
1.90E-02	1s6p	1P	1	1s9s	1S	0
2.33E-03	1s6s	3S	1	1s8p	3P	0
7.00E-03	1s6s	3S	1	1s8p	3P	1
1.17E-02	1s6s	3S	1	1s8p	3P	2
1.53E-01	1s5s	1S	0	1s6p	1P	1
						
5.88E-02	1s6s	1S	0	1s8p	1P	1
5.85E-06	1s5p	3P	2	1s6d	1D	2
2.70E-05	1s5p	3P	1	1s6d	1D	2
4.29E-03	1s5p	3P	2	1s6d	3D	1
1.07E-01	1s5p	3P	1	1s6d	3D	1
						
6.44E-02	1s5p	3P	2	1s6d	3D	2
3.61E-01	1s5p	3P	2	1s6d	3D	3
3.22E-01	1s5p	3P	1	1s6d	3D	2
4.30E-01	1s5p	3P	0	1s6d	3D	1
1.56E-06	1s6p	3P	2	1s8d	1D	2
						
7.22E-06	1s6p	3P	1	1s8d	1D	2
1.28E-03	1s6p	3P	2	1s8d	3D	1
1.92E-02	1s6p	3P	2	1s8d	3D	2
1.08E-01	1s6p	3P	2	1s8d	3D	3
3.20E-02	1s6p	3P	1	1s8d	3D	1
						
9.61E-02	1s6p	3P	1	1s8d	3D	2
1.28E-01	1s6p	3P	0	1s8d	3D	1
3.94E-06	1s5d	3D	2	1s6p	1P	1
4.11E-02	1s5d	1D	2	1s6p	1P	1
1.78E-02	1s5d	3D	3	1s6f	1F	3
						
1.93E-01	1s5d	3D	2	1s6f	1F	3
1.90E-03	1s5d	3D	3	1s6f	3F	2
9.30E-02	1s5d	3D	2	1s6f	3F	2
7.69E-01	1s5d	3D	3	1s6f	3F	4
4.86E-02	1s5d	3D	3	1s6f	3F	3
						
5.52E-01	1s5d	3D	2	1s6f	3F	3
8.37E-01	1s5d	3D	1	1s6f	3F	2
6.26E-01	1s3s	1S	0	1s3p	1P	1
6.21E-01	1s5d	1D	2	1s6f	1F	3
9.51E-06	1s5d	1D	2	1s6f	3F	2
						
2.18E-01	1s5d	1D	2	1s6f	3F	3
3.20E-02	1s5f	3F	3	1s6g	1G	4
5.17E-02	1s5f	3F	3	1s6g	3G	3
2.77E-02	1s5f	3F	4	1s6g	1G	4
1.10E+00	1s5f	3F	3	1s6g	3G	4
						
9.14E-04	1s5f	3F	4	1s6g	3G	3
1.13E+00	1s5f	3F	4	1s6g	3G	5
2.99E-02	1s5f	3F	4	1s6g	3G	4
1.18E+00	1s5f	3F	2	1s6g	3G	3
1.12E+00	1s5f	1F	3	1s6g	1G	4
						
2.24E-02	1s5f	1F	3	1s6g	3G	3
4.52E-02	1s5f	1F	3	1s6g	3G	4
1.15E-06	1s6d	3D	2	1s8p	1P	1
6.64E-05	1s5g	3G	4	1s6h	1H	5
3.48E-02	1s5g	3G	4	1s6h	3H	4
						
1.64E+00	1s5g	3G	4	1s6h	3H	5
2.66E-02	1s5g	3G	5	1s6h	1H	5
5.54E-04	1s5g	3G	5	1s6h	3H	4
1.62E+00	1s5g	3G	5	1s6h	3H	6
2.83E-02	1s5g	3G	5	1s6h	3H	5
						
1.68E+00	1s5g	3G	3	1s6h	3H	4
1.64E+00	1s5g	1G	4	1s6h	1H	5
3.23E-02	1s5g	1G	4	1s6h	3H	4
3.24E-04	1s5g	1G	4	1s6h	3H	5
3.98E-04	1s5g	3G	4	1s6f	1F	3
						
1.60E-04	1s5g	3G	3	1s6f	1F	3
2.40E-04	1s5g	3G	4	1s6f	3F	4
6.89E-03	1s5g	1G	4	1s6f	1F	3
6.77E-03	1s5g	3G	4	1s6f	3F	3
6.80E-03	1s5g	3G	3	1s6f	3F	2
						
7.41E-03	1s5g	3G	5	1s6f	3F	4
9.45E-06	1s5g	3G	3	1s6f	3F	4
4.36E-04	1s5g	3G	3	1s6f	3F	3
2.23E-04	1s5g	1G	4	1s6f	3F	4
3.00E-04	1s5g	1G	4	1s6f	3F	3
						
1.35E-02	1s6d	1D	2	1s8p	1P	1
6.99E-03	1s5f	3F	3	1s6d	1D	2
1.68E-02	1s5f	1F	3	1s6d	1D	2
1.51E-02	1s5f	3F	3	1s6d	3D	2
1.86E-03	1s5f	3F	3	1s6d	3D	3
						
2.01E-02	1s5f	3F	2	1s6d	3D	1
2.40E-02	1s5f	3F	4	1s6d	3D	3
3.73E-03	1s5f	3F	2	1s6d	3D	2
1.07E-04	1s5f	3F	2	1s6d	3D	3
6.25E-03	1s5f	1F	3	1s6d	3D	2
						
8.05E-04	1s5f	1F	3	1s6d	3D	3
3.80E-03	1s6d	3D	3	1s8f	1F	3
4.10E-02	1s6d	3D	2	1s8f	1F	3
4.60E-04	1s6d	3D	3	1s8f	3F	2
2.25E-02	1s6d	3D	2	1s8f	3F	2
						
1.86E-01	1s6d	3D	3	1s8f	3F	4
1.23E-02	1s6d	3D	3	1s8f	3F	3
1.39E-01	1s6d	3D	2	1s8f	3F	3
2.03E-01	1s6d	3D	1	1s8f	3F	2
1.57E-01	1s6d	1D	2	1s8f	1F	3
						
2.05E-06	1s6d	1D	2	1s8f	3F	2
4.64E-02	1s6d	1D	2	1s8f	3F	3
9.83E-03	1s6f	3F	3	1s8g	1G	4
1.12E-02	1s6f	3F	3	1s8g	3G	3
5.73E-03	1s6f	3F	4	1s8g	1G	4
						
2.24E-01	1s6f	3F	3	1s8g	3G	4
1.89E-04	1s6f	3F	4	1s8g	3G	3
2.33E-01	1s6f	3F	4	1s8g	3G	5
6.20E-03	1s6f	3F	4	1s8g	3G	4
2.45E-01	1s6f	3F	2	1s8g	3G	3
						
2.28E-01	1s6f	1F	3	1s8g	1G	4
4.12E-03	1s6f	1F	3	1s8g	3G	3
1.31E-02	1s6f	1F	3	1s8g	3G	4
9.30E-06	1s6g	3G	4	1s8h	1H	5
5.52E-03	1s6g	3G	4	1s8h	3H	4
						
2.60E-01	1s6g	3G	4	1s8h	3H	5
4.22E-03	1s6g	3G	5	1s8h	1H	5
8.79E-05	1s6g	3G	5	1s8h	3H	4
2.57E-01	1s6g	3G	5	1s8h	3H	6
4.48E-03	1s6g	3G	5	1s8h	3H	5
						
2.66E-01	1s6g	3G	3	1s8h	3H	4
2.61E-01	1s6g	1G	4	1s8h	1H	5
5.11E-03	1s6g	1G	4	1s8h	3H	4
5.42E-05	1s6g	1G	4	1s8h	3H	5
4.68E-06	1s6h	3H	5	1s8i	1I	6
						
3.10E-03	1s6h	3H	5	1s8i	3I	5
2.14E-01	1s6h	3H	5	1s8i	3I	6
2.48E-03	1s6h	3H	6	1s8i	1I	6
3.57E-05	1s6h	3H	6	1s8i	3I	5
2.12E-01	1s6h	3H	6	1s8i	3I	7
						
2.62E-03	1s6h	3H	6	1s8i	3I	6
2.17E-01	1s6h	3H	4	1s8i	3I	5
2.14E-01	1s6h	1H	5	1s8i	1I	6
2.92E-03	1s6h	1H	5	1s8i	3I	5
1.89E-05	1s6h	1H	5	1s8i	3I	6
						
1.86E-05	1s6h	3H	5	1s8g	3G	5
8.83E-04	1s6h	3H	5	1s8g	3G	4
2.12E-05	1s6h	3H	4	1s8g	1G	4
9.02E-04	1s6h	3H	6	1s8g	3G	5
8.58E-04	1s6h	3H	4	1s8g	3G	3
						
8.85E-04	1s6h	1H	5	1s8g	1G	4
2.29E-05	1s6h	3H	4	1s8g	3G	4
1.75E-05	1s6h	1H	5	1s8g	3G	5
2.46E-04	1s6g	3G	4	1s8f	1F	3
1.12E-04	1s6g	3G	4	1s8f	3F	4
						
6.54E-05	1s6g	3G	3	1s8f	1F	3
3.09E-03	1s6g	3G	4	1s8f	3F	3
3.15E-03	1s6g	1G	4	1s8f	1F	3
3.45E-03	1s6g	3G	5	1s8f	3F	4
3.17E-03	1s6g	3G	3	1s8f	3F	2
						
4.40E-06	1s6g	3G	3	1s8f	3F	4
2.12E-04	1s6g	3G	3	1s8f	3F	3
1.04E-04	1s6g	1G	4	1s8f	3F	4
1.93E-04	1s6g	1G	4	1s8f	3F	3
2.18E-03	1s6f	3F	3	1s8d	1D	2
						
6.17E-03	1s6f	1F	3	1s8d	1D	2
5.53E-03	1s6f	3F	3	1s8d	3D	2
6.84E-04	1s6f	3F	3	1s8d	3D	3
8.41E-03	1s6f	3F	4	1s8d	3D	3
7.07E-03	1s6f	3F	2	1s8d	3D	1
						
1.31E-03	1s6f	3F	2	1s8d	3D	2
3.74E-05	1s6f	3F	2	1s8d	3D	3
1.95E-03	1s6f	1F	3	1s8d	3D	2
2.51E-04	1s6f	1F	3	1s8d	3D	3
1.34E-03	1s7s	3S	1	1s10p	3P	0
						
4.01E-03	1s7s	3S	1	1s10p	3P	1
6.68E-03	1s7s	3S	1	1s10p	3P	2
1.73E-01	1s6p	1P	1	1s8d	1D	2
1.35E-05	1s6p	1P	1	1s8d	3D	2
6.70E-01	1s5p	1P	1	1s6d	1D	2
						
5.88E-05	1s5p	1P	1	1s6d	3D	2
1.40E-02	1s6d	3D	1	1s8p	3P	0
1.88E-02	1s6d	3D	2	1s8p	3P	1
2.51E-02	1s6d	3D	3	1s8p	3P	2
6.28E-03	1s6d	3D	2	1s8p	3P	2
						
1.05E-02	1s6d	3D	1	1s8p	3P	1
6.98E-04	1s6d	3D	1	1s8p	3P	2
1.64E-06	1s6d	1D	2	1s8p	3P	1
4.90E-02	1s5d	3D	1	1s6p	3P	0
6.62E-02	1s5d	3D	2	1s6p	3P	1
						
8.82E-02	1s5d	3D	3	1s6p	3P	2
2.21E-02	1s5d	3D	2	1s6p	3P	2
3.68E-02	1s5d	3D	1	1s6p	3P	1
2.45E-01	1s5d	3D	1	1s6p	3P	2
6.51E-06	1s5d	1D	2	1s6p	3P	1
						
2.25E-06	1s5d	1D	2	1s6p	3P	2
5.88E-02	1s6p	3P	2	1s8s	3S	1
5.88E-02	1s6p	3P	1	1s8s	3S	1
5.88E-02	1s6p	3P	0	1s8s	3S	1
4.94E-02	1s6p	1P	1	1s8s	1S	0
						
3.11E-02	1s7s	1S	0	1s10p	1P	1
3.28E-06	1s7p	3P	1	1s10d	1D	2
6.11E-04	1s7p	3P	2	1s10d	3D	1
9.17E-03	1s7p	3P	2	1s10d	3D	2
5.13E-02	1s7p	3P	2	1s10d	3D	3
						
1.53E-02	1s7p	3P	1	1s10d	3D	1
4.58E-02	1s7p	3P	1	1s10d	3D	2
6.11E-02	1s7p	3P	0	1s10d	3D	1
2.16E-01	1s5p	1P	1	1s6s	1S	0
7.42E-03	1s7d	1D	2	1s10p	1P	1
						
1.58E-03	1s7d	3D	3	1s10f	1F	3
1.71E-02	1s7d	3D	2	1s10f	1F	3
2.05E-04	1s7d	3D	3	1s10f	3F	2
1.00E-02	1s7d	3D	2	1s10f	3F	2
8.28E-02	1s7d	3D	3	1s10f	3F	4
						
5.57E-03	1s7d	3D	3	1s10f	3F	3
6.31E-02	1s7d	3D	2	1s10f	3F	3
9.02E-02	1s7d	3D	1	1s10f	3F	2
7.10E-02	1s7d	1D	2	1s10f	1F	3
1.93E-02	1s7d	1D	2	1s10f	3F	3
						
5.16E-03	1s7f	3F	3	1s10g	1G	4
4.92E-03	1s7f	3F	3	1s10g	3G	3
9.47E-02	1s7f	3F	3	1s10g	3G	4
2.44E-03	1s7f	3F	4	1s10g	1G	4
8.09E-05	1s7f	3F	4	1s10g	3G	3
						
9.96E-02	1s7f	3F	4	1s10g	3G	5
2.65E-03	1s7f	3F	4	1s10g	3G	4
1.05E-01	1s7f	3F	2	1s10g	3G	3
9.65E-02	1s7f	1F	3	1s10g	1G	4
1.63E-03	1s7f	1F	3	1s10g	3G	3
						
6.68E-03	1s7f	1F	3	1s10g	3G	4
3.52E-06	1s7g	3G	4	1s10h	1H	5
2.31E-03	1s7g	3G	4	1s10h	3H	4
1.09E-01	1s7g	3G	4	1s10h	3H	5
1.76E-03	1s7g	3G	5	1s10h	1H	5
						
3.67E-05	1s7g	3G	5	1s10h	3H	4
1.07E-01	1s7g	3G	5	1s10h	3H	6
1.87E-03	1s7g	3G	5	1s10h	3H	5
1.11E-01	1s7g	3G	3	1s10h	3H	4
1.09E-01	1s7g	1G	4	1s10h	1H	5
						
2.13E-03	1s7g	1G	4	1s10h	3H	4
2.35E-05	1s7g	1G	4	1s10h	3H	5
2.13E-06	1s7h	3H	5	1s10i	1I	6
1.41E-03	1s7h	3H	5	1s10i	3I	5
9.73E-02	1s7h	3H	5	1s10i	3I	6
						
1.13E-03	1s7h	3H	6	1s10i	1I	6
1.62E-05	1s7h	3H	6	1s10i	3I	5
9.64E-02	1s7h	3H	6	1s10i	3I	7
1.19E-03	1s7h	3H	6	1s10i	3I	6
9.87E-02	1s7h	3H	4	1s10i	3I	5
						
9.74E-02	1s7h	1H	5	1s10i	1I	6
1.33E-03	1s7h	1H	5	1s10i	3I	5
8.60E-06	1s7h	1H	5	1s10i	3I	6
2.92E-06	1s7i	3I	6	1s10h	3H	6
2.02E-04	1s7i	3I	6	1s10h	3H	5
						
2.05E-04	1s7i	3I	7	1s10h	3H	6
3.26E-06	1s7i	3I	5	1s10h	1H	5
1.98E-04	1s7i	3I	5	1s10h	3H	4
2.02E-04	1s7i	1I	6	1s10h	1H	5
3.47E-06	1s7i	3I	5	1s10h	3H	5
						
2.77E-06	1s7i	1I	6	1s10h	3H	6
1.83E-05	1s7h	3H	5	1s10g	3G	5
8.72E-04	1s7h	3H	5	1s10g	3G	4
8.90E-04	1s7h	3H	6	1s10g	3G	5
2.09E-05	1s7h	3H	4	1s10g	1G	4
						
8.46E-04	1s7h	3H	4	1s10g	3G	3
8.73E-04	1s7h	1H	5	1s10g	1G	4
2.26E-05	1s7h	3H	4	1s10g	3G	4
1.73E-05	1s7h	1H	5	1s10g	3G	5
1.89E-04	1s7g	3G	4	1s10f	1F	3
						
7.64E-05	1s7g	3G	4	1s10f	3F	4
2.09E-03	1s7g	3G	4	1s10f	3F	3
4.19E-05	1s7g	3G	3	1s10f	1F	3
2.35E-03	1s7g	3G	5	1s10f	3F	4
2.13E-03	1s7g	1G	4	1s10f	1F	3
						
2.16E-03	1s7g	3G	3	1s10f	3F	2
3.00E-06	1s7g	3G	3	1s10f	3F	4
1.47E-04	1s7g	3G	3	1s10f	3F	3
7.06E-05	1s7g	1G	4	1s10f	3F	4
1.51E-04	1s7g	1G	4	1s10f	3F	3
						
1.18E-03	1s7f	3F	3	1s10d	1D	2
3.72E-03	1s7f	1F	3	1s10d	1D	2
3.33E-03	1s7f	3F	3	1s10d	3D	2
4.12E-04	1s7f	3F	3	1s10d	3D	3
4.94E-03	1s7f	3F	4	1s10d	3D	3
						
4.15E-03	1s7f	3F	2	1s10d	3D	1
7.68E-04	1s7f	3F	2	1s10d	3D	2
2.19E-05	1s7f	3F	2	1s10d	3D	3
1.06E-03	1s7f	1F	3	1s10d	3D	2
1.36E-04	1s7f	1F	3	1s10d	3D	3
						
3.01E-01	1s5p	3P	2	1s6s	3S	1
3.01E-01	1s5p	3P	1	1s6s	3S	1
3.01E-01	1s5p	3P	0	1s6s	3S	1
7.94E-02	1s7p	1P	1	1s10d	1D	2
5.88E-06	1s7p	1P	1	1s10d	3D	2
						
7.22E-03	1s7d	3D	1	1s10p	3P	0
9.75E-03	1s7d	3D	2	1s10p	3P	1
1.30E-02	1s7d	3D	3	1s10p	3P	2
3.25E-03	1s7d	3D	2	1s10p	3P	2
5.42E-03	1s7d	3D	1	1s10p	3P	1
						
3.61E-04	1s7d	3D	1	1s10p	3P	2
7.89E-07	1s7d	1D	2	1s10p	3P	1
2.61E-02	1s7p	3P	2	1s10s	3S	1
2.61E-02	1s7p	3P	1	1s10s	3S	1
2.61E-02	1s7p	3P	0	1s10s	3S	1
						
2.30E-02	1s7p	1P	1	1s10s	1S	0
4.48E-03	1s6s	3S	1	1s7p	3P	0
1.34E-02	1s6s	3S	1	1s7p	3P	1
2.24E-02	1s6s	3S	1	1s7p	3P	2
2.35E-03	1s7s	3S	1	1s9p	3P	0
						
7.05E-03	1s7s	3S	1	1s9p	3P	1
1.17E-02	1s7s	3S	1	1s9p	3P	2
6.22E-02	1s7s	1S	0	1s9p	1P	1
1.61E-01	1s6s	1S	0	1s7p	1P	1
7.21E-06	1s7p	3P	1	1s9d	1D	2
						
1.32E-03	1s7p	3P	2	1s9d	3D	1
3.30E-02	1s7p	3P	1	1s9d	3D	1
1.98E-02	1s7p	3P	2	1s9d	3D	2
1.11E-01	1s7p	3P	2	1s9d	3D	3
9.90E-02	1s7p	3P	1	1s9d	3D	2
						
1.32E-01	1s7p	3P	0	1s9d	3D	1
1.35E-01	1s4s	3S	1	1s4p	3P	0
4.05E-01	1s4s	3S	1	1s4p	3P	1
6.75E-01	1s4s	3S	1	1s4p	3P	2
1.46E-06	1s7d	3D	2	1s9p	1P	1
						
1.84E-02	1s7d	1D	2	1s9p	1P	1
3.77E-03	1s7d	3D	3	1s9f	1F	3
4.07E-02	1s7d	3D	2	1s9f	1F	3
4.74E-04	1s7d	3D	3	1s9f	3F	2
2.32E-02	1s7d	3D	2	1s9f	3F	2
						
1.92E-01	1s7d	3D	3	1s9f	3F	4
1.28E-02	1s7d	3D	3	1s9f	3F	3
1.45E-01	1s7d	3D	2	1s9f	3F	3
2.09E-01	1s7d	3D	1	1s9f	3F	2
1.63E-01	1s7d	1D	2	1s9f	1F	3
						
1.97E-06	1s7d	1D	2	1s9f	3F	2
4.61E-02	1s7d	1D	2	1s9f	3F	3
1.25E-02	1s7f	3F	3	1s9g	1G	4
1.19E-02	1s7f	3F	3	1s9g	3G	3
5.92E-03	1s7f	3F	4	1s9g	1G	4
						
2.29E-01	1s7f	3F	3	1s9g	3G	4
